"ID","n_victimas","tipo_de_calle","calle","altura","cruce","dirección_normalizada","comuna","lon","lat","participantes","victima","acusado","fecha_hora","es_cruce"
"2017-0015",1,"AVENIDA","CORDOBA AV.","ESQ","CALLAO AV.","CORDOBA AV. y CALLAO AV.",2.0,-58.39293417,-34.59963642,"PEATON-AUTO","PEATON","AUTO","2017-02-02 15:18:03","Esquina"
"2017-0016",1,"AUTOPISTA","AUTOPISTA 25 DE MAYO","ESQ","NA","AUTOPISTA 25 DE MAYO KM. 8.3",1.0,-58.38099494,-34.62288231,"MOTO-CARGAS","MOTO","CARGAS","2017-02-03 05:12:21","Calle"
"2017-0017",1,"AVENIDA","JUSTO, JUAN B. AV.","ESQ","PARAGUAY","JUSTO, JUAN B. AV. y PARAGUAY",14.0,-58.429012,-34.58095431,"MOTO-AUTO","MOTO","AUTO","2017-02-06 08:00:00","Esquina"
"2017-0018",1,"GRAL PAZ","PAZ, GRAL. AV.","ESQ","DE LOS CORRALES AV.","PAZ, GRAL. AV. y DE LOS CORRALES AV.",9.0,-58.50877521,-34.66977709,"MOTO-AUTO","MOTO","AUTO","2017-02-09 07:00:00","Esquina"
"2017-0021",1,"CALLE","SARMIENTO","ESQ","LIBERTAD","SARMIENTO y LIBERTAD",1.0,-58.38362373,-34.60509972,"MOTO-PASAJEROS","MOTO","PASAJEROS","2017-02-18 05:30:00","Esquina"
"2017-0024",1,"AVENIDA","RIVADAVIA AV.","7121","NA","RIVADAVIA AV. 7121",7.0,-58.46589308,-34.62955795,"PEATON-PASAJEROS","PEATON","PASAJEROS","2017-02-23 20:50:00","Calle"
"2017-0025",1,"AVENIDA","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","ESQ","RIVERA INDARTE AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",7.0,-58.43614426,-34.6542464,"MOTO-SD","MOTO","SD","2017-02-24 17:05:00","Esquina"
"2017-0026",2,"AVENIDA","MORENO, PERITO AV.","ESQ","FOURNIER","MORENO, PERITO AV. y FOURNIER",4.0,-58.41842777,-34.64979057,"AUTO-OBJETO FIJO","AUTO","OBJETO FIJO","2017-02-26 05:15:00","Esquina"
"2017-0027",1,"AVENIDA","CASEROS AV.","1429","NA","CASEROS AV. 1429",1.0,-58.38332245,-34.6319325,"PEATON-AUTO","PEATON","AUTO","2017-02-26 21:57:00","Calle"
"2017-0028",1,"AVENIDA","GAONA AV.","ESQ","FRAGATA PRES. SARMIENTO","GAONA AV. y FRAGATA PRES. SARMIENTO",6.0,-58.45475488,-34.61196327,"PEATON-AUTO","PEATON","AUTO","2017-02-28 09:20:00","Esquina"
"2017-0029",1,"CALLE","MOZART","ESQ","TANDIL","MOZART y TANDIL",9.0,-58.48501341,-34.64742455,"SD-AUTO","SD","AUTO","2017-03-07 02:15:00","Esquina"
"2017-0030",1,"AVENIDA","MOZART","ESQ","AUTOPISTA DELLEPIANE LUIS TTE. GRAL.","MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.",9.0,-58.47010988,-34.65872088,"AUTO-PASAJEROS","AUTO","PASAJEROS","2017-03-07 08:00:00","Esquina"
